código_material,preço_real,descrição,modelos_compativeis
4180-710-7149,128.14,"Tubo do eixo Ø 25,4 mm FCB-KM",Implem. KM - FCB Aparador de Cantos
4180-710-8106,85.55,Proteção Ø 420 mm,FS120/FSA135
4180-710-8112,27.42,Proteção,IMPLEM. KM - FCB
4180-710-8202,70.14,Arruela prato Ø 200 mm,FS120
4180-710-8500,31.13,Prato giratório,FS131
4180-713-1603,22.88,Arruela de pressão,IMPLEMENTO FCS
4180-713-3101,19.49,Prato giratório,RGA140
4180-713-4110,8.26,Faca limitadora,FS120/80/85/FSA135
4180-713-4502,22.58,Proteção,Implem. KM - FCB/FCS Aparador de Cantos
4180-716-3100,32,Placa de apoio,FS120
4180-716-3200,18.41,Protetor,FS120/FSA135
4180-716-3201,16.63,Protetor,IMPLEM. KM - FCB
4180-740-1400,39.51,Roda,FCS
4180-740-6400,93.37,Luva,
4180-790-0301,69.02,Cabo da mão,HT133
4180-790-1313,143.37,Cabo de manejo,FR410
4180-790-1314,130.91,Cabo de manejo,HT133
4180-790-3405,69.96,Cabo circular,FR350/KA85/KM85/FS85/FS160/FR220/PC75/HT70K/KA120
4180-790-3406,67.49,Cabo circular,FR85/220/350/FS85R/KA85R/KM55/HLA65
4180-790-3408,71.85,Cabo circular,FR410/KMA135
4180-790-4700,41.61,Braçadeira de aço,FS130
4180-790-7200,11.78,Luva,FS130
4180-790-7205,10.18,Luva,FS130
4180-791-9303,26.88,Amortecedor,FS131/HT133
4180-791-9403,19.04,Braçadeira,FS131/HT133
4180-890-3400,34.51,Chave combinada,FS130/460/SP10/SPA65/KMA135
4180-893-6400,2.5,Calibrador de folga da válvula,FS130/BR600/BT130/HT133
4180-967-1519,12.58,Plaqueta de identificação FS 130,FS130
4180-967-1548,12.58,Plaqueta de identificação FS 131,FS131
4182-007-0601,236.01,Kit rolamento,HT75
4182-007-0800,16.13,Kit Anel de vedação redondo,HTA135.0
4182-007-1004,82.94,Kit rolamento de esferas,HT Implemento Moto-poda/HT133
4182-007-1005,29.46,Jogo arruela elástica,HT133
4182-007-1010,20.07,Cjto capa,HT75
4182-007-1050,2067.25,Jogo Haste Telescópica / Engrenagem,NOVO/HT75
4182-007-1051,2067.25,Jogo Haste telesc. / Engrenagem,HT131
4182-080-1805,210.4,Carcaça do ventilador,HT131
4182-160-2100,30.11,Acoplamento deslizante,HT75
4182-162-8900,13.27,Arruela,HT Implemento Moto-poda/HT133
4182-190-0400,64.93,Tampa do arranque,HT131
4182-190-0401,60.01,Tampa do arranque,HT133
4182-190-4000,172.85,Carcaça do arranque completa,HT131
4182-190-4001,166.44,Carcaça do arranque completa,HT133
4182-350-0303,77.53,Tanque de óleo,HT70K
4182-350-0304,72.13,Tanque de óleo,HTImpl/75/131
4182-350-0306,79.33,Tanque de óleo,HT75
4182-350-0401,213.65,Tanque de combustível,HT135
4182-350-6500,18.33,Cobertura,HT131
4182-351-1000,6.81,Junta de vedação,HT75
4182-640-0136,1208.34,Engrenagem,HT131
4182-640-0137,1010.07,Engrenagem,HT75
4182-640-0138,1172.55,Engrenagem,HT75
4182-640-0139,1009.23,Engrenagem,HT75
4182-640-0145,1006.92,Engrenagem,HT135
4182-640-0146,987.53,Engrenagem,UTILIZ. FER. KA E KM
4182-640-0149,910.9,Engrenagem,HT75
4182-640-0150,650.25,Engrenagem,HT131
4182-640-0152,852.72,Engrenagem,HT75/133
4182-640-0154,820.31,Engrenagem,UTILIZ. FER. KA E KM
4182-640-0552,66.51,Carcaça da engrenagem,HT Implemento Moto-poda
4182-640-0553,76.64,Carcaça da engrenagem,HT75/133
4182-640-0554,90.81,Carcaça da engrenagem,HT70/75/133
4182-640-0555,250.33,Carcaça da engrenagem,HT75
4182-640-0556,246.86,Carcaça da engrenagem,UTILIZ. FER. KA E KM
4182-640-1400,163.85,Carcaça,HT133
4182-640-1701,51.23,Tampa do pinhão da corrente,HT Implemento Moto-poda/HT133
4182-640-1702,56.36,Tampa do pinhão da corrente,HT75
4182-640-3200,64.62,"Bomba de óleo 0,55",KA/KM-HT Implemento Moto-poda/HT133
4182-640-3400,83.41,Mangueira de óleo,HT Implemento Moto-poda/HT133
4182-640-3800,12.08,Cabeçote de aspiração,HT75
4182-640-4300,21.04,Tampa,Ferramenta KA - HT Implemento Moto-poda
4182-640-7100,39.63,Sem-fim,HT Implemento Moto-poda/HT133
4182-640-7300,421.27,Jogo de pinhões,HTImpl
4182-640-7303,398.39,"Jogo de pinhões 1,27",HT75
4182-640-7314,333.58,Jogo de pinhões,HT Implemento Moto-poda
4182-640-7315,421.38,Jogo de pinhões,HT75/HT 133
4182-640-7317,419.7,Jogo de pinhões,HT75
4182-641-0300,200.82,Carcaça da engrenagem,HT75
4182-641-0400,29.23,Tampa da engrenagem,UTILIZ. FER. KA E KM
4182-641-0401,29.23,Tampa da engrenagem,HT75
4182-641-1001,14.37,Carcaça,HT Implemento Moto-poda/HT133
4182-641-3200,22.5,Tubo do óleo,HT Implemento Moto-poda/HT133
4182-642-7500,6.49,Parafuso com colar M5,HT Implemento Moto-poda/HT133
4182-660-0700,80.23,Tensor da corrente,HT75
4182-664-1000,12.7,Chapa lateral,KM/KA/HT133
4182-664-1001,11.16,Chapa lateral,HT75/133
4182-664-2200,8.75,Cobertura,HT133
4182-664-2401,11.91,Parafuso com colar M8,HT75
4182-710-3201,83.3,Eixo de acionamento,HT75/ HT131
4182-710-3203,246.08,Eixo de acionamento,HT75
4182-710-3204,146.8,Eixo de acionamento,HT75/HT131
4182-710-3211,342.36,Eixo de acionamento,HT133
4182-710-3214,112.93,Eixo de acionamento,HT133
4182-710-3234,253.15,Eixo de acionamento,HT75
4182-710-3235,261.68,Eixo de acionamento,HTA135.0
4182-710-3237,261.68,Eixo de acionamento,
4182-710-7106,163.54,"Tubo do eixo Ø 25,4 mm",HT75
4182-710-7111,95.43,Tubo do eixo,HT131/HT75
4182-710-7114,204.8,"Tubo do eixo Ø 25,4 mm",HT75
4182-710-7123,255.67,Tubo do eixo Ø 38 mm,HT133
4182-710-7125,306.36,Tubo do eixo Ø 33 mm,HT133
4182-710-7126,78.77,Tubo do eixo,HT70/75/133
4182-710-7127,86.67,"Tubo do eixo Ø 25,4 mm",HT133
4182-710-7131,1310.99,Tubo do eixo,HT133
4182-710-7137,94.31,"Tubo do eixo 25,4 mm",HT75
4182-710-7138,133.01,"Tubo do eixo 25,4 mm",HT75
4182-710-7140,1202.69,Tubo do eixo,NOVO/HT75
4182-710-7144,493.5,Tubo do eixo,HT75
4182-710-7157,423.57,Tubo do eixo,HT75
4182-710-7164,479.42,"Tubo do eixo 38,0 mm",HT75/HT135/HTA135
4182-710-7167,1386.33,Tubo do eixo,HTA135
4182-710-7176,1392.78,Tubo do eixo,HT75
4182-710-7178,423.57,"Tubo do eixo 38,0 mm",HT75
4182-710-7322,27.28,Luva,HT133
4182-710-7350,20.54,Luva,HT133
4182-710-9000,149.47,Cinturão direita,HT131
4182-710-9001,149.47,Cinturão esquerdo,HT131
4182-710-9100,149.46,Cinturão,HT131
4182-711-2523,24.96,Luva,HT133
4182-711-2524,13.86,Luva,HT133
4182-711-7301,15.7,Guia de proteção 400 mm,HT75/ HT131
4182-711-7321,12.42,Guia de proteção,HT133
4182-711-7322,59.5,Guia de proteção,HT133
4182-711-7327,15.7,Guia de proteção,HTA135.0
4182-711-7330,59.5,Guia de proteção,HT75/HT135/HTA135
4182-711-9822,14.07,Anel espaçador,HT133
4182-716-0320,54.07,Porca,HT133
4182-716-1920,3.04,Anel de vedação,HT133/HTA86
4182-716-6520,73.57,Peça de fixação,HTA135.0
4182-716-9400,12.36,Anel espaçador,HTA135.0
4182-717-2000,6.49,Capa,HT133
4182-740-3200,101.15,Alojamento,Moto-podadorHT75
4182-740-3203,103.68,Rolamento,HT75
4182-740-3209,109.69,Rolamento,HTA135.0
4182-740-3215,47.09,Alojamento,HT133
4182-740-3501,48.76,Arrastador de aço,HT131
4182-740-3503,37.59,Arrastador,HTA135.0
4182-740-3722,72.8,Peça de fixação,HT133
4182-790-2900,258.37,Tubo,HT131
4182-790-6800,313.19,Quadro de transporte,HT131
4182-790-8000,86.5,Almofada para as costas plástico/espuma,HT131
4182-791-7201,23.56,Luva,HT131
4182-791-8000,27.18,Cinto,HT131
4182-791-9400,14.48,Braçadeira de aço,HT131
4182-792-2100,22.62,Velcro de plástico,HT131
4182-820-1600,201.62,Porca,HT75
4182-967-1503,12.58,Plaqueta de identificação HT 131,HT131
4182-967-1507,12.58,Plaqueta de identificação HT 133,HT133
4182-967-3700,10.08,Indicação de advertência pictograma HT,HT131
4182-967-7200,10.08,Indicação de advertência pictogram,HT75
4182-967-7500,10.08,Indicação de alerta,HT75
4201-007-1032,43.61,Jogo peça angular,TS350
4201-020-1200,815.32,Cilindro com pistão Ø 49 mm,MS08/TS350
4201-020-2101,564.26,"Carc. virabrequim de magn.,aço,borracha",TS350
4201-030-2000,279.92,Pistão Ø 49 mm,MS08/TS350
4201-120-7100,68.23,Eixo de estrangulamento com alavanca,MS08
4201-121-1100,40.44,Corpo da válvula,MS08
4201-121-2900,14.53,Borboleta do afogador,MS08
4201-121-3000,55.06,Eixo do afogador,MS08
4201-121-3300,14.53,Borboleta de estrangulamento,MS08
4201-121-5000,34.4,Alavanca de regulagem de admissão,MS08
4201-121-9200,4.07,Eixo,MS08/TS350
4201-122-1500,5.34,Arruela,MS08
4201-122-3000,8.18,Mola,MS08
4201-122-3001,8.18,Mola,MS08
4201-122-6201,34.23,Parafuso de encosto da marcha lenta,MS08
4201-122-6800,34.23,Parafuso de regulagem da marcha lenta,MS08
4201-122-7702,15.12,Parafuso cabeca lentilha,MS08
4201-122-9300,4.43,Grampo,MS08
4201-129-2500,5.34,Arruela de aço,MS08
4201-129-3001,17.32,Anel de vedação de borracha,MS08
4201-140-1000,72.72,Tampa do filtro,BT360/TS350/360
4201-140-1801,29.72,Filtro adicional,TS350/Stumec
4201-140-7200,48.56,Grade proteção,TS350/P835/840
4201-141-0300,121.01,Filtro de ar,TS350/Stumec
4201-141-0500,37.48,Tampa do filtro,TS350
4201-141-1500,15.36,Flange,TS350
4201-148-3001,15.02,Placa de apoio,TS350/P835
4201-190-0600,45.71,Mola de recuo de aço,TS350
4201-350-5802,18.52,"Respiro do tanque poliacetal,aço,poliur.",TS350
4201-700-4500,43.24,"Registro 1/4""",TS420/800/TSA230
4201-700-7300,21.06,Conexão da mangueira,TS350/760/800/TSA230
4201-701-0202,371.03,Peça de conexão,TS350
4201-706-9202,11.09,"Arruela 75,5x100x0,3",TS350/760/800
4201-708-3004,109.67,"Arruela de pressão Ø  62,65x102,5x3 mm",TS350/760/800
4201-708-3014,106.36,"Arruela de pressão Ø 10x102,5x3 mm",TS350/760/800
4201-708-8400,21.6,Parafuso oco,TS760
4201-708-8402,8.64,Parafuso sextavado M10x18,TS350/420/760/800-FW20/TSA230
4201-708-8403,41.02,Parafuso sextavado M10x40,FR85/350/TS350/760
4201-711-0904,52.47,Eixo,TS760
4201-790-1700,118,Cabo do punho,TS350
4201-791-9000,7.46,Peça de pressão,TS350
4202-701-0500,23.86,Carcaça da bomba superior,SR400/420
4202-701-0900,31.3,Tampa do recipiente,TS420
4202-701-2400,17.59,Peça de estrangulamento,SR400/420
4202-708-8900,9.38,Anel de vedação de borracha,SR400/420
4202-708-9101,9.52,Grampo,SR400/420
4202-708-9502,48.38,Mangueira 10x2x830 mm,SR400/420
4202-717-8100,33.15,"Corrente 1,3 m",SR400/420
4203-007-1002,22.93,Jogo fecho do cinto,SR400/420
4203-007-1029,582.14,Jogo bomba de pressão (ULV),SR400/420
4203-007-1050,69.88,Jogo de juntas de vedação e retentores,SR400/420
4203-020-1201,775.41,Cilindro com pistão Ø 46 mm,SR400/420/BR420
4203-020-2106,434.1,Carcaça do virabrequim,SR400/420
4203-020-2107,434.93,Carcaça do virabrequim,CRP 4203
4203-029-0500,5.26,Junta de vedação de fibra de celulose,SR400/420
4203-029-2300,8.54,Junta de vedação de fibra de celulose,SR400/420
4203-030-0400,564.46,Virabrequim,SR400/420/BR420
4203-030-2001,267.08,Pistão de alumínio Ø 46 mm,SR400/420
4203-030-2004,267.07,Pistão Ø 46 mm,
4203-034-3002,31.98,"Anel de compressão Ø 46x1,2 mm",CRP 4203
4203-120-0610,290.91,Carburador HD-45,SR420/BR420
4203-120-0612,290.91,Carburador 4203/12,CRP 4203
4203-120-1500,60.21,Pré-filtro,SR420
4203-120-1501,17.47,Pré-filtro,CRP 4203
4203-120-2200,99.37,Flange,SR400/420
4203-120-2201,97.47,Flange,SR 420/ br420
4203-121-0800,49.68,Tampa de fechamento,SR400/420
4203-121-0802,49.68,Tampa de fechamento,SR420
4203-121-2700,21.52,Capa,BR420/SR420
4203-121-3001,52.17,Eixo do afogador,SR400/420
4203-121-5400,36.77,Injetor da válvula 0.52,SR420
4203-122-1600,25.54,Chapa defletora,SR400/420
4203-122-3600,17.32,Anel de vedação,MS310/390/046/066/660/650
4203-122-6703,34.23,Parafuso de regulagem principal,MS650BR420
4203-122-6804,34.23,Parafuso de regulagem da marcha lenta,BR420
4203-129-0900,7.28,Junta de vedação de fibra de celulose,SR400/420
4203-129-0901,7.41,Junta de vedação de fibra de celulose,SR400/420
4203-129-0902,7.1,Junta de vedação,BR420
4203-140-0601,101.32,Silenciador,SR400/420
4203-140-1001,58.6,Tampa do filtro,SR420
4203-140-1005,58.6,Tampa do filtro,
4203-140-2806,77.67,Carcaça do filtro de magnésio,BR420/SR420
4203-140-2807,78.96,Carcaça do filtro,CRP 4203
4203-140-4400,65.11,Filtro de ar,
4203-141-0300,57.67,Filtro de ar,SR400
4203-141-0301,53.97,Filtro de ar,SR420
4203-141-0305,19.73,Filtro de ar,SR400
4203-141-0310,11.56,Pré-filtro,SR400
4203-162-3100,13.76,Elemento de acoplamento,SR400/420
4203-180-1104,106.42,Cabo do acelerador,SR400/420
4203-180-1106,96.25,Cabo do acelerador,CRP 4203
4203-180-1500,20.23,Alavanca do acelerador,SR420
4203-180-2150,8.73,Suporte do cabo do acelerador,SR420
4203-182-1003,15.32,Alavanca do acelerador,SR400/420
4203-182-2107,7.53,Suporte de poliacetal,SR400/420
4203-182-2900,14.78,Alavanca de regulagem de plástico,SR400/420
4203-182-4500,3.72,Mola com haste,SR400/420
4203-182-8902,16.24,Pino,SR400/420
4203-182-8950,16.27,Pino,SR400/420
4203-182-9501,11.04,Botão giratório,SR400/420
4203-190-0405,139.73,"Tampa do arranque poliamida,aço,borracha",SR400/420/BR420
4203-190-0406,62.74,Tampa do arranque de poliamida e aço,SR400/420
4203-350-0451,445.58,Tanque de combustível,BR380/BR420/SR420
4203-350-5801,23.81,Respiro do tanque,SR420
4203-350-8000,15.85,Peça redutora de nylon e borracha,SR400/420
4203-353-2500,8.76,Peça angular,BR420/SR420
4203-358-7400,8.46,Peça redutora,SR400/420
4203-358-7701,23.86,Mangueira,BR420/SR420
4203-400-1200,137.42,Volante,SR400/420
4203-400-1201,125.23,Volante,CRP 4203
4203-400-1302,335.56,Módulo de ignição,SR420
4203-430-0102,12.02,Corrediça,SR400
4203-440-1102,99.16,Cabo curto-circuito,SR420
4203-500-7000,26.73,Borboleta direcionadora,BR420
4203-700-0600,241.4,Bomba de pressão,SR400/420
4203-700-0804,206.9,Recipiente,CRP 4203
4203-700-0902,45.21,Tampa do recipiente,SR400/420
4203-700-0903,46.61,Tampa do recipiente,SR400/420
4203-700-2800,120.74,Eixo,SR400/420
4203-700-3401,149.58,Roda do ventilador,SR400/420
4203-700-3850,283.3,Placa dorsal,SR400/420/BR420
4203-700-3851,283.82,Placa dorsal,BR420/SR420
4203-700-4104,205.99,Carcaça do ventilador,SR/BR420
4203-700-4106,201.21,Carcaça do ventilador,CRP 4203
4203-700-4501,60.65,Registro de fechamento,SR420
4203-700-4503,61.84,Registro,CRP 4203
4203-700-6307,78.36,"Bico Ø 0,65 mm - cinza",sr400
4203-700-6311,32.09,"Bico Ø 0,5 mm",SR400/420
4203-700-6312,32.09,"Bico Ø 0,8 mm",SR400/420
4203-700-6313,32.09,Bico Ø 1 mm,SR400/420
4203-700-6314,32.09,"Bico Ø 0,65 mm",SR400/420
4203-700-6315,32.09,"Bico Ø 1,6 mm",SR400/420
4203-700-6316,32.09,Bico Ø 2 mm,SR400/420
4203-700-6318,43.98,Bico,SR400/420
4203-700-6900,73.74,Cotovelo,SR400/420
4203-700-7100,19.38,Braçadeira p/ mangueira,SR400/420
4203-700-8801,38.05,Filtro,SR400/420
4203-700-8806,77.77,Filtro,SR400/420
4203-701-0510,21.7,Carcaça da bomba inferior,SR400/420
4203-701-0701,159.37,Carc. do ventilador externa,SR400/420
4203-701-6101,76.73,Mangueira sanfonada,BR420
4203-701-6102,74.95,Mangueira sanfonada,SR400/ BR420
4203-701-6105,29.74,Mangueira sanfonada,SR400/420
4203-701-6200,16.13,Conexão flexível,SR400/420
4203-701-6300,37.72,Anel deslizante,SR400/420
4203-701-8300,45.22,Bico chato curvado,sr400
4203-703-5700,5.34,Elemento do respiro do tanque,SR400/420
4203-703-6901,22.54,Suporte,SR400/420
4203-706-1100,8.05,Chapa retentora,SR400/420
4203-706-2102,127.86,Cobertura,SR420
4203-706-2103,117.95,Cobertura,CRP 4203
4203-708-0800,10.39,Mola,FR85/220/350/SR400/420/HS45
4203-708-3400,42.81,Tubo soprador,SR400/420
4203-708-3402,57.69,Tubo soprador,SR400/420
4203-708-3404,63.03,Tubo soprador,BR420
4203-708-3408,48.75,Tubo soprador,BR420
4203-708-3409,48.17,Tubo,SR400/420
4203-708-3411,53.55,Tubo,
4203-708-4000,14.24,Peça dosadora,sr400
4203-708-4003,14.78,Peça dosadora,SR400/420
4203-708-4100,47.02,Anel de regulagem de plástico,SR400/420
4203-708-6300,44.01,Bico redondo curvado,BR420
4203-708-6306,55.31,Bico redondo reto,BR420
4203-708-6600,13.04,Grade defletora dupla,SR400/420
4203-708-6700,13.04,Grade cônica,SR400/420
4203-708-6800,13.04,Grade defletora,SR400/420
4203-708-6901,48.99,Cotovelo,SR400/420
4203-708-7300,32.08,Funil,SR400/420
4203-708-7501,31.66,Elemento,SR400/420
4203-708-7601,8.48,Guarnição,SR400/420
4203-708-8201,9.64,Suporte,SR400/420
4203-708-8700,8.8,Braçadeira da mangueira,SR400/420
4203-708-8900,22.35,Anel intermediário 80,SR/BR420
4203-708-9000,59.83,Luva intermediária,BT45
4203-708-9300,9.51,Arruela,BR420/PEÇAS KIT ASPIRAÇÃO
4203-708-9601,70.36,Tubo de conexão,BR420 - Utilizado 4203-007-1003
4203-708-9604,17.94,Conector,SR400/420
4203-708-9605,22.36,Niple,SR400/420
4203-708-9700,173.99,Saco coletor,BR420
4203-709-2003,6.45,Anel de vedação,SR400/420
4203-710-6900,36.71,Gancho com cinto,SR400/420
4203-710-9000,93.77,Cinturão,SR400/420/BR420
4203-711-7201,13.28,Mangueira 960 mm,FS44/86/106/108/160/220/280/FR85/SR400/4
4203-717-8301,30.27,Condutor,SR400/420
4203-790-0300,90.32,Cabo da mão,
4203-790-0301,89.12,Cabo da mão,
4203-790-0302,89.12,Cabo da mão,
4203-790-1105,105.34,Parte do punho 67 mm,SR400/420
4203-790-1106,105.34,Parte do punho 80 mm,BR420
4203-790-1304,197.95,Cabo de manejo Ø 67 mm,SR420/450
4203-790-1306,197.36,Cabo de manejo plástico Ø 80 mm,BR420
4203-790-1312,173.23,Cabo de manejo Ø 67 mm,CRP 4203
4203-790-1313,174.89,Cabo de manejo Ø 80 mm,CRP 4203
4203-790-8001,109.18,Almofada para as costas plástico/espuma,SR400/420
4203-790-8003,111.66,"Almofada de espuma, algodão p/ as costas",BR420/SR420
4203-791-0300,35.58,Cabo da mão,BR420
4203-791-0810,64.83,Parte externa do punho 80 mm,BR420
4203-791-0811,60.8,Parte externa do punho 67 mm,SR400/420
4203-791-4600,21.67,Gancho,SR400/420
4203-791-5200,11.83,Bucha,SR400/420
4203-791-5600,177.26,Quadro de transporte,SR400/420
4203-791-9100,19.12,Espaçador,BR420
4203-792-7200,9.94,Fivela,FR85/106/108/220/350/FS120/160/220/250/2
4203-967-1506,12.58,Plaqueta de identif. de poliamida BR420,BR420
4203-967-1508,12.58,Plaqueta de identificação SR 420,SR420
4203-967-3506,9.18,Etiqueta auto-adesiva,SR420
4203-967-3700,9.19,Etiqueta auto-adesiva,CRP 4203
4205-080-1600,231.65,"Cobertura de alumínio,aço,fibra celulose",MS051/076/TS760
4205-122-2500,2.74,Braçadeira da mangueira,SR420/TS760/HS81R
4205-140-1100,82.19,Suporte do filtro,TS760
4205-141-0501,55.98,Tampa Do Filtro,TS760
4205-141-0502,51.96,Tampa do filtro,TS760
4205-141-0700,31.28,Suporte do filtro de magnésio,TS760
4205-141-8602,11.28,Mangueira 200 mm,TS760
4205-162-8200,105.74,Bucha de aço,TS760
4205-350-0501,29.34,Tampa do tanque,TS760
4205-350-3600,27.8,Kit Mangueira,TS760
4205-353-2300,8.73,Capa,TS760
4205-400-1001,552.56,"Ignitor de aço, plástico e cobre",TS760
4205-647-1200,4.95,Tampa,Stumec
4205-647-7000,25.9,Bujão,Stumec
4205-647-7001,17.82,Bujão,Stumec
4205-700-1210,439.02,Peça de conexão,TS760
4205-704-1004,274.05,Polia da correia,TS760
4205-706-2903,42.63,Flange,TS350/760/800
4205-706-8105,91.04,Proteção da correia,TS760
4205-708-8200,20.52,Suporte,TS760
4205-710-9300,26.66,Parafuso de orelhas,TS760
4205-790-5400,84.03,Suporte,TS760
4205-790-9300,24.36,Amortecedor de borracha,TS420/800
4205-790-9301,25.97,Amortecedor,TS760
4205-791-2701,41.27,Tubo,TS760
4205-791-3903,128.93,Mancal,TS760
4205-791-5400,43.61,Suporte,TS760
4205-791-7200,4.31,Luva,TS760
4205-791-7602,51.51,Apoio,TS760
4205-791-8400,16.11,Anel,TS760
4211-120-7100,55.62,Eixo de estrangulamento com alavanca,FS85
4211-121-8600,5.34,Arruela de aço,FS85
4211-122-6700,34.23,Parafuso de regulagem principal,FS85
4211-122-9000,5.59,Anel de segurança de aço,FS85
4214-029-0500,3.13,Junta de vedação,P835/840
4214-121-2200,5.26,Chapa de refrigeração,P835
4215-121-8600,5.28,Arruela,SR400/420
4215-121-8900,21.13,Pino,FS85/SR400/420
4221-025-2200,9.23,Bujão,TS800
4221-084-5600,16.56,Parafuso entalhado,P835/840
4221-120-7100,60.23,Eixo de estrangulamento com alavanca,TS760
4221-121-7800,14.04,Tela,MS034/038/051/076/P835/840/TS760
4221-121-8600,6.38,Arruela,TS760
4221-121-9400,15.46,Anel,TS760
4221-122-3605,17.32,Anel de vedação,TS760
4221-140-1800,25.85,Filtro adicional,TS510/760
4221-140-4400,85.02,Filtro de ar,TS510/760
4221-141-0310,20.39,Pré-filtro,TS510/760
4221-162-1000,12.89,Arruela de cobertura,TS800
4221-182-2800,10.59,Alavanca,TS420
4221-195-7200,6.32,Peça de engate,TS800
4221-660-0400,65.49,Dispositivo tensor,TS800
4221-706-8801,25.79,Anel de borracha,TS350/760
4221-792-9300,15.57,Amortecedor de borracha,TS800
4221-893-5900,15.03,Tranca pistão,FS300/350/380/460/KA120
4223-020-9400,99.87,Válvula de descompressão,TS800
4223-036-8600,2.78,Chaveta,TS350/800
4223-084-1600,7.31,Cobertura,TS420
4223-084-5600,10.09,Parafuso entalhado,BT120/121/SR400/420/HS45/KM55/FS120/250/300/350/FR350/KA120
4223-121-9400,29.76,Anel,
4223-122-3001,8.18,Mola,TS800
4223-141-0300,67.28,Filtro de ar,SR430/450/BR430
4223-141-2200,81.7,Conexão,TS800
4223-141-8600,11.28,Mangueira de impulso,TS800
4223-195-0600,31.28,Roda do arranque,FS160/220/280/FR220/SR400/420/BT130/HT13
4223-353-9201,4.67,Luva,SR420
4223-670-5000,49.78,Válvula,TS350/510/760
4223-670-6010,1010.88,Recipiente de água,TS350/510/760
4223-670-6600,68.87,Tubo da bomba aluminio,TS350/510/760
4223-670-7700,66.25,Cabo,TS350/510/760
4223-670-8200,26.73,Pistão,TS350/510/760
4223-670-8600,42.22,Tampa do tanque,TS350/510/760
4223-677-8300,4.06,Porca de engate,TS350/510/760
4223-678-1600,10.42,Elemento,TS350/510/760
4223-678-2600,17.32,Válvula,TS350/510/760
4223-890-1400,50.47,Jogo de ferramentas,FR220
4224-007-1012,89.65,Jogo de juntas de vedação,TS800
4224-007-1021,55.9,Jogo,TS420/800-FW20
4224-020-1205,1101.93,Cilindro com pistão Ø 56 mm,TS800
4224-020-1601,100.66,Diafragma,TS800
4224-020-2606,659.3,Carcaça do virabrequim lado ventilador,TS800
4224-020-2905,811.77,Parte da carcaça do virabrequim,TS800
4224-029-0500,6.18,Junta de vedação,TS800
4224-029-2302,8.17,Junta do cilindro,TS800
4224-030-0400,834.2,Virabrequim,TS800
4224-030-2005,391.76,Pistão Ø 56 mm,TS800
4224-034-1500,22.56,Pino do pistão,TS800
4224-080-0900,50.72,Cobertura do condutor de ar,TS800
4224-080-1600,106.82,Cobertura,TS800
4224-080-2200,33.44,Capa,TS800
4224-080-3100,149.69,Tampa do ventilador,TS800
4224-084-7400,11.94,Luva,TS800
4224-120-0602,418.38,Carburador WJ-130A,TS800
4224-120-7103,56.77,Eixo de estrangulamento com alavanca,TS800
4224-121-0804,49.68,Tampa de fechamento,TS800
4224-121-2701,21.52,Capa,TS800
4224-121-2901,14.53,Borboleta do afogador,TS800
4224-121-3001,54.5,Eixo do afogador,TS800
4224-121-3301,14.53,Válvula de estrangulamento,TS800
4224-121-6100,17.78,Alavanca do afogador,TS800
4224-121-6603,8,Alavanca,TS800
4224-121-6604,6.54,Alavanca,TS800
4224-122-3000,8.18,Mola,TS800
4224-122-3202,3.72,Mola com haste,TS800
4224-122-3203,3.72,Mola com haste,TS800
4224-122-3602,16.99,Anel de vedação,TS800
4224-122-3900,8.98,Cotovelo,MS650/660/FS351
4224-122-6201,34.23,Parafuso de encosto da marcha lenta,TS800
4224-122-6704,34.24,Parafuso de regulagem principal,TS800
4224-122-6802,34.24,Parafuso de regulagem da marcha lenta,TS800
4224-122-7100,9.36,Parafuso,TS800
4224-122-7801,8.63,Parafuso escareado cabeça lentilha,MS361
4224-122-9004,5.59,Anel de segurança,TS800
4224-123-7500,7.81,Luva.,TS800
4224-124-2101,4.84,Tirante,TS800
4224-126-0201,9.29,Eixo do afogador,TS800
4224-126-0301,13.83,Afogadorpe,TS800
4224-129-0903,7.41,Junta de vedação,TS800
4224-140-0605,228.44,Silenciador,TS800
4224-140-1000,61.11,Tampa do filtro,TS800
4224-140-1204,59.34,Base do filtro,TS800
4224-140-1801,38.09,Filtro adicional,TS800
4224-140-2800,134.34,Carcaça do filtro,TS800
4224-141-0300,81.32,Filtro de ar,TS800
4224-141-2202,68.16,Conexão,TS800
4224-141-5400,21.09,Mangueira,TS800
4224-149-0500,7.86,Junta de vedação,TS800
4224-149-0600,10.63,Junta de vedação do silenciador,TS800
4224-160-2001,197.01,Embreagem,TS800
4224-162-2600,12.15,Anel espaçador,TS800
4224-180-1100,105.43,Cabo do acelerador,TS420/FW20
4224-180-1801,198.17,Comanto do acelerador,TS420/800-FW20
4224-180-1802,94.94,Comanto do acelerador,TS420/FW20
4224-180-2200,9,Fita de borracha,TS420/FW20
4224-180-4701,154.16,Arrastador,TS420/800-FW20
4224-182-0600,30.2,Eixo,TS420/800-FW20
4224-182-0800,12.8,Trava do acelerador,TS800
4224-182-0900,19.31,Interruptor combinado,TS800
4224-182-1000,37.89,Alavanca do acelerador,TS800
4224-182-1304,36.68,Parte da carcaça,TS420/800-FW20
4224-182-1305,38.3,Parte da carcaça,TS420/800-FW20
4224-182-1500,4.93,Tirante do acelerador,TS800
